Access see Market access, EconomicOperand
importance to institutional design, EconomicOperand
purpose of regulation, EconomicOperand
trading practices, EconomicOperand
Trust, EconomicOperand
association with banks, EconomicOperand
effect of trust-building diplomacy for international regulation, EconomicOperand
functional substitute for the separate corporate personality, EconomicOperand
importance, EconomicOperand
‘Twin peaks’ supervision, EconomicOperand
ascendancy in policy circles, EconomicOperand
Australia, EconomicOperand
defining characteristics, EconomicOperand
France, EconomicOperand
UK approach, EconomicOperand
consumer protection, EconomicOperand
examples of models in use, EconomicOperand
origins, EconomicOperand
principles-based regulation, EconomicOperand
risk-based regulation, EconomicOperand
senior-management accountability, EconomicOperand
United States, EconomicOperand
United Kingdom, EconomicOperand
bank capital, EconomicOperand
importance, EconomicOperand
inadequacy at time of GFC, EconomicOperand
supervisory review, EconomicOperand
conduct of business regulation, EconomicOperand
coexisting general law obligations, EconomicOperand
complex frameworks, EconomicOperand
consumer protection, EconomicOperand
fair treatment, EconomicOperand
mortgage-lending practices, EconomicOperand
product intervention, EconomicOperand
as well-informed investors or consumers, EconomicOperand
crisis management and resolution, EconomicOperand
distressed financial institutions, EconomicOperand
financial collateral and termination provisions, EconomicOperand
funding of resolution, EconomicOperand
triggering resolution process, EconomicOperand
UK Special Resolution Regime, EconomicOperand
enforcement, EconomicOperand
measuring enforcement, EconomicOperand
powers, EconomicOperand
public and private enforcement compared, EconomicOperand
role of discretion, EconomicOperand
equity market, EconomicOperand
dispersal of share ownership, EconomicOperand
financial stability, EconomicOperand
history and development,, EconomicOperand
investor protection, EconomicOperand
main purpose, EconomicOperand
take-overs, EconomicOperand
exposure of gaps in international regulation, EconomicOperand
financial market infrastructures (FMIs), EconomicOperand
trading venues, EconomicOperand
history and development of market access and licensing, EconomicOperand
insurance, EconomicOperand
current approach to regulation, EconomicOperand
first-generation integration, EconomicOperand
illustration of integration failure, EconomicOperand
supervisory challenges of modernization, EconomicOperand
integrated regulation, EconomicOperand
bold new approach, EconomicOperand
management-based regulation, EconomicOperand
principles-based regulation, EconomicOperand
risk-based regulation, EconomicOperand
macro-prudential supervision, EconomicOperand
market abuse, EconomicOperand
regulatory approaches, EconomicOperand
integrated regulation, EconomicOperand
overview, EconomicOperand
self-regulation with statutory mandate, EconomicOperand
sanctions, EconomicOperand
range of sanctions, EconomicOperand
responsibility for regulatory contraventions, EconomicOperand
settlements and discounts , EconomicOperand
shareholder protection, EconomicOperand
structural prudential regulation, EconomicOperand
supervisory model, EconomicOperand
trading practices, EconomicOperand
rules, norms and standards, EconomicOperand
UK approaches, EconomicOperand
‘twin peaks’ supervision, EconomicOperand
United States, EconomicOperand
ascendancy of objectives supervision, EconomicOperand
banks and banking, EconomicOperand
extension of OLA regime, EconomicOperand
FDIC receivership, EconomicOperand
multinational coordination of supervision, EconomicOperand
supervisory review of capital, EconomicOperand
triggering resolution process, EconomicOperand
basic characteristics of regulatory system, EconomicOperand
accountability, EconomicOperand
competency, EconomicOperand
efficiency, EconomicOperand
legitimacy, EconomicOperand
transparency, EconomicOperand
complex factors shaping regulation, EconomicOperand
conduct of business regulation, EconomicOperand
bifurcated regime, EconomicOperand
coexisting general law obligations, EconomicOperand
complex frameworks, EconomicOperand
disclosure practices, EconomicOperand
divergent conduct rules, EconomicOperand
effectiveness of oversight, EconomicOperand
impact of GFC, EconomicOperand
modal regulatory strategies, EconomicOperand
remuneration-based risks, EconomicOperand
conflicts of interest, EconomicOperand
comments on responses, EconomicOperand
regulatory response, EconomicOperand
consumer protection, EconomicOperand
mortgage-lending practices, EconomicOperand
as protected investors, EconomicOperand
reform of wholesale and retail distinction, EconomicOperand
restructuring of authorities, EconomicOperand
as well-informed investors or consumers, EconomicOperand
crisis management and resolution, EconomicOperand
distressed financial institutions, EconomicOperand
funding of resolution, EconomicOperand
Dodd-Frank Act, EconomicOperand
calls for reform, EconomicOperand
current trends,, EconomicOperand
prior multiple federal approach, EconomicOperand
reform White Paper, EconomicOperand
regulation of CCPs and CSDs, EconomicOperand
regulation of TRs, EconomicOperand
effect of structural reform, EconomicOperand
enforcement, EconomicOperand
jurisdictional and extraterritorial enforcement, EconomicOperand
measuring enforcement, EconomicOperand
powers, EconomicOperand
public and private enforcement compared, EconomicOperand
role of discretion, EconomicOperand
‘enrolment’ of self-regulation within public system, EconomicOperand
exposure of gaps in international regulation, EconomicOperand
history and development of market access and licensing, EconomicOperand
housing policy as cause of GFC, EconomicOperand
impact of cross-border crisis in s,, EconomicOperand
impact of financial crises on policy, EconomicOperand
inadequacy of bank capital, EconomicOperand
insurance, EconomicOperand
first-generation integration, EconomicOperand
supervisory challenges of modernization, EconomicOperand
market abuse, EconomicOperand
enforcement, EconomicOperand
insider trading, EconomicOperand
organization of regulatory system, EconomicOperand
activity-based approach, EconomicOperand
lead regulator model, EconomicOperand
overview, EconomicOperand
single regulator model , EconomicOperand
‘twin peaks’ supervision, EconomicOperand
origins of deposit insurance, EconomicOperand
regulation of shadow banking, EconomicOperand
regulatory objectives, EconomicOperand
regulatory strategies, EconomicOperand
response to GFC, EconomicOperand
sanctions, EconomicOperand
range of sanctions, EconomicOperand
responsibility for regulatory contraventions, EconomicOperand
settlements and discounts , EconomicOperand
shareholder protection, EconomicOperand
structural prudential regulation, EconomicOperand
supervisory model, EconomicOperand
trading practices, EconomicOperand
regulators, supervisors and self-regulatory organizations, EconomicOperand
rules, norms and standards, EconomicOperand
Treasury Blueprint for a modernized structure, EconomicOperand
business conduct regulation, EconomicOperand
financial stability, EconomicOperand
prudential-related regulation, EconomicOperand
Whistleblowing, EconomicOperand
civil litigation, EconomicOperand
enforcement role, EconomicOperand
World Bank, EconomicOperand
coercion behind the new system, EconomicOperand
involvement in regulatory role, EconomicOperand
risk-based approaches, EconomicOperand
surveillance mechanisms, EconomicOperand
World Trade Organization (WTO), EconomicOperand
dispute resolution, EconomicOperand
availability, EconomicOperand
delegation under Havana Charter, EconomicOperand
GATT system, EconomicOperand
launch of new system, EconomicOperand
origins, EconomicOperand
unique characteristics, EconomicOperand
history and development of market access and licensing, EconomicOperand
international enforcement, EconomicOperand
AA/AAA credit ratings, EconomicOperand
ABCP see asset-backed commercial paper, EconomicOperand
ABL see asset-based lending, EconomicOperand
ABN-Amron,,, EconomicOperand
ABSs see asset-backed securities, EconomicOperand
accounting relief, EconomicOperand
accounting standards, proposed changes, EconomicOperand
accounting studies, EconomicOperand
accounting system, EconomicOperand
Acevedo, Paola Morales, , EconomicOperand
Act on Provision of Trust Business by Financial Institutions Japan, EconomicOperand
adjustable rate mortgages (ARMS),,,,, EconomicOperand
Adrian, Tobias, , EconomicOperand
advanced internal ratings-based (A-IRB) approach, EconomicOperand
advanced measurement approaches (AMA),, EconomicOperand
Africa,,,,,, EconomicOperand
agent banking, EconomicOperand
aggregate development in international comparison, Fig.. Fig.. Fig.. , EconomicOperand
bank-level evidence, Tab.. Tab.. , EconomicOperand
and Basel III, EconomicOperand
branching and penetration,,, EconomicOperand
benchmarking the banking system, Fig.. , EconomicOperand
collateral requirements, EconomicOperand
commitment savings devices, EconomicOperand
competition, EconomicOperand
credit registries,, EconomicOperand
creditor rights, EconomicOperand
deposit/GDP levels,, EconomicOperand
enterprise access to finance in international comparison, Fig.. , EconomicOperand
Global Financial Inclusion Index, EconomicOperand
high interest rates and credit, EconomicOperand
household access to finance in international comparison, EconomicOperand
informal sector, EconomicOperand
liquid liabilities/GDP levels,, EconomicOperand
long-term finance agenda, EconomicOperand
median credit/GDP levels,,, Fig.. , EconomicOperand
